SDD21_Lower	ILD_Upper	ILD_Lower	SDD11_Upper
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
-17.04	1.482	-1.482	-8.0655368854188
-17.04	1.484	-1.484	-8.06045687928156
-17.04	1.486	-1.486	-8.0553834153368
-17.04	1.488	-1.488	-8.0503164683737
-17.04	1.49	-1.49	-8.04525601334296
-17.04	1.492	-1.492	-8.04020202535533
-17.04	1.494	-1.494	-8.0351544796802
-17.04	1.496	-1.496	-8.03011335174416
-17.04	1.498	-1.498	-8.02507861712964
-17.04	1.5	-1.5	-8.02005025157352
-17.04	1.502	-1.502	-8.01502823096575
-17.04	1.504	-1.504	-8.010012531348
-17.04	1.506	-1.506	-8.00500312891236
-17.04	1.508	-1.508	-8
-17.04	1.51	-1.51	-7.99500312109984
-17.04	1.512	-1.512	-7.99001246884732
-17.04	1.514	-1.514	-7.98502802002305
-17.04	1.516	-1.516	-7.98004975155164
-17.04	1.518	-1.518	-7.97507764050038
-17.04	1.52	-1.52	-7.97011166407802
-17.04	1.522	-1.522	-7.9651517996336
-17.04	1.524	-1.524	-7.96019802465517
-17.04	1.526	-1.526	-7.95525031676866
-17.04	1.528	-1.528	-7.95852482606861
-17.04	1.53	-1.53	-7.94477127903627
-17.04	1.532	-1.532	-7.93105115499442
-17.04	1.534	-1.534	-7.91736429189196
-17.04	1.536	-1.536	-7.90371052885348
-17.04	1.538	-1.538	-7.89008970616796
-17.04	1.54	-1.54	-7.87650166527751
-17.04	1.542	-1.542	-7.86294624876632
-17.04	1.544	-1.544	-7.84942330034971
-17.04	1.546	-1.546	-7.83593266486333
-17.04	1.548	-1.548	-7.82247418825246
-17.04	1.55	-1.55	-7.80904771756148
-17.04	1.552	-1.552	-7.79565310092341
-17.04	1.554	-1.554	-7.78229018754962
-17.04	1.556	-1.556	-7.76895882771965
-17.04	1.558	-1.558	-7.75565887277112
-17.04	1.56	-1.56	-7.74239017508982
-17.04	1.562	-1.562	-7.72915258809986
-17.04	1.564	-1.564	-7.71594596625393
-17.04	1.566	-1.566	-7.70277016502375
-17.04	1.568	-1.568	-7.68962504089054
-17.04	1.57	-1.57	-7.67651045133566
-17.04	1.572	-1.572	-7.66342625483131
-17.04	1.574	-1.574	-7.65037231083142
-17.04	1.576	-1.576	-7.63734847976253
-17.04	1.578	-1.578	-7.62435462301488
-17.04	1.58	-1.58	-7.61139060293355
-17.04	1.582	-1.582	-7.59845628280969
-17.04	1.584	-1.584	-7.58555152687188
-17.04	1.586	-1.586	-7.57267620027759
-17.04	1.588	-1.588	-7.55983016910473
-17.04	1.59	-1.59	-7.54701330034327
-17.04	1.592	-1.592	-7.53422546188698
-17.04	1.594	-1.594	-7.52146652252527
-17.04	1.596	-1.596	-7.50873635193511
-17.04	1.598	-1.598	-7.49603482067306
-17.04	1.6	-1.6	-7.48336180016733
-17.04	1.602	-1.602	-7.47071716271
-17.04	1.604	-1.604	-7.4581007814493
-17.04	1.606	-1.606	-7.44551253038197
-17.04	1.608	-1.608	-7.4329522843457
-17.04	1.61	-1.61	-7.42041991901168
-17.04	1.612	-1.612	-7.4079153108772
-17.04	1.614	-1.614	-7.39543833725836
-17.04	1.616	-1.616	-7.38298887628282
-17.04	1.618	-1.618	-7.37056680688271
-17.04	1.62	-1.62	-7.35817200878751
-17.04	1.622	-1.622	-7.34580436251712
-17.04	1.624	-1.624	-7.33346374937487
-17.04	1.626	-1.626	-7.32115005144077
-17.04	1.628	-1.628	-7.30886315156471
-17.04	1.63	-1.63	-7.29660293335974
-17.04	1.632	-1.632	-7.28436928119554
-17.04	1.634	-1.634	-7.27216208019178
-17.04	1.636	-1.636	-7.25998121621172
-17.04	1.638	-1.638	-7.24782657585577
-17.04	1.64	-1.64	-7.23569804645517
-17.04	1.642	-1.642	-7.22359551606571
-17.04	1.644	-1.644	-7.21151887346156
-17.04	1.646	-1.646	-7.19946800812909
-17.04	1.648	-1.648	-7.18744281026084
-17.04	1.65	-1.65	-7.17544317074952
-17.04	1.652	-1.652	-7.16346898118203
-17.04	1.654	-1.654	-7.15152013383362
-17.04	1.656	-1.656	-7.13959652166206
-17.04	1.658	-1.658	-7.1276980383019
-17.04	1.66	-1.66	-7.11582457805876
-17.04	1.662	-1.662	-7.10397603590369
-17.04	1.664	-1.664	-7.09215230746762
-17.04	1.666	-1.666	-7.08035328903585
-17.04	1.668	-1.668	-7.06857887754254
-17.04	1.67	-1.67	-7.05682897056536
-17.04	1.672	-1.672	-7.04510346632013
-17.04	1.674	-1.674	-7.03340226365551
-17.04	1.676	-1.676	-7.02172526204781
-17.04	1.678	-1.678	-7.01007236159574
-17.04	1.68	-1.68	-6.99844346301536
-17.04	1.682	-1.682	-6.98683846763492
-17.04	1.684	-1.684	-6.97525727738993
-17.04	1.686	-1.686	-6.96369979481811
-17.04	1.688	-1.688	-6.95216592305449
-17.04	1.69	-1.69	-6.94065556582658
-17.04	1.692	-1.692	-6.92916862744949
-17.04	1.694	-1.694	-6.91770501282118
-17.04	1.696	-1.696	-6.90626462741776
-17.04	1.698	-1.698	-6.89484737728878
-17.04	1.7	-1.7	-6.8834531690526
-17.04	1.702	-1.702	-6.87208190989185
-17.04	1.704	-1.704	-6.86073350754884
-17.04	1.706	-1.706	-6.8494078703211
-17.04	1.708	-1.708	-6.83810490705693
-17.04	1.71	-1.71	-6.82682452715098
-17.04	1.712	-1.712	-6.81556664053992
-17.04	1.714	-1.714	-6.80433115769811
-17.04	1.716	-1.716	-6.79311798963334
-17.04	1.718	-1.718	-6.78192704788257
-17.04	1.72	-1.72	-6.77075824450778
-17.04	1.722	-1.722	-6.7596114920918
-17.04	1.724	-1.724	-6.74848670373422
-17.04	1.726	-1.726	-6.73738379304731
-17.04	1.728	-1.728	-6.726302674152
-17.04	1.73	-1.73	-6.7152432616739
-17.04	1.732	-1.732	-6.70420547073937
-17.04	1.734	-1.734	-6.69318921697156
-17.04	1.736	-1.736	-6.68219441648658
-17.04	1.738	-1.738	-6.67122098588969
-17.04	1.74	-1.74	-6.66026884227142
NaN	1.742	-1.742	-6.64933790320392
NaN	1.744	-1.744	-6.63842808673714
NaN	1.746	-1.746	-6.62753931139522
NaN	1.748	-1.748	-6.61667149617278
NaN	1.75	-1.75	-6.60582456053135
NaN	1.752	-1.752	-6.59499842439576
NaN	1.754	-1.754	-6.5841930081506
NaN	1.756	-1.756	-6.57340823263672
NaN	1.758	-1.758	-6.56264401914773
NaN	1.76	-1.76	-6.55190028942656
NaN	1.762	-1.762	-6.54117696566206
NaN	1.764	-1.764	-6.53047397048561
NaN	1.766	-1.766	-6.51979122696776
NaN	1.768	-1.768	-6.50912865861491
NaN	1.77	-1.77	-6.49848618936607
NaN	1.772	-1.772	-6.48786374358954
NaN	1.774	-1.774	-6.47726124607973
NaN	1.776	-1.776	-6.46667862205394
NaN	1.778	-1.778	-6.4561157971492
NaN	1.78	-1.78	-6.44557269741916
NaN	1.782	-1.782	-6.43504924933095
NaN	1.784	-1.784	-6.42454537976211
NaN	1.786	-1.786	-6.41406101599757
NaN	1.788	-1.788	-6.40359608572658
NaN	1.79	-1.79	-6.39315051703977
NaN	1.792	-1.792	-6.38272423842614
NaN	1.794	-1.794	-6.37231717877016
NaN	1.796	-1.796	-6.36192926734883
NaN	1.798	-1.798	-6.35156043382882
NaN	1.8	-1.8	-6.34121060826359
NaN	1.802	-1.802	-6.33087972109057
NaN	1.804	-1.804	-6.32056770312837
NaN	1.806	-1.806	-6.31027448557398
NaN	1.808	-1.808	-6.3
NaN	1.81	-1.81	-6.28974417835197
NaN	1.812	-1.812	-6.27950695294558
NaN	1.814	-1.814	-6.26928825646409
NaN	1.816	-1.816	-6.25908802195558
NaN	1.818	-1.818	-6.24890618283038
NaN	1.82	-1.82	-6.23874267285842
NaN	1.822	-1.822	-6.22859742616669
NaN	1.824	-1.824	-6.21847037723665
NaN	1.826	-1.826	-6.20836146090167
NaN	1.828	-1.828	-6.19827061234457
NaN	1.83	-1.83	-6.18819776709507
NaN	1.832	-1.832	-6.17814286102738
NaN	1.834	-1.834	-6.16810583035767
NaN	1.836	-1.836	-6.15808661164172
NaN	1.838	-1.838	-6.14808514177247
NaN	1.84	-1.84	-6.13810135797764
NaN	1.842	-1.842	-6.12813519781738
NaN	1.844	-1.844	-6.11818659918192
NaN	1.846	-1.846	-6.10825550028925
NaN	1.848	-1.848	-6.09834183968278
NaN	1.85	-1.85	-6.08844555622915
NaN	1.852	-1.852	-6.07856658911586
NaN	1.854	-1.854	-6.0687048778491
NaN	1.856	-1.856	-6.05886036225151
NaN	1.858	-1.858	-6.04903298245997
NaN	1.86	-1.86	-6.03922267892341
NaN	1.862	-1.862	-6.02942939240066
NaN	1.864	-1.864	-6.01965306395829
NaN	1.866	-1.866	-6.0098936349685
NaN	1.868	-1.868	-6.00015104710699
NaN	1.87	-1.87	-5.99042524235087
NaN	1.872	-1.872	-5.98071616297662
NaN	1.874	-1.874	-5.97102375155799
NaN	1.876	-1.876	-5.96134795096398
NaN	1.878	-1.878	-5.95168870435682
NaN	1.88	-1.88	-5.94204595518999
NaN	1.882	-1.882	-5.93241964720618
NaN	1.884	-1.884	-5.92280972443537
NaN	1.886	-1.886	-5.91321613119285
NaN	1.888	-1.888	-5.9036388120773
NaN	1.89	-1.89	-5.89407771196885
NaN	1.892	-1.892	-5.88453277602721
NaN	1.894	-1.894	-5.87500394968976
NaN	1.896	-1.896	-5.86549117866965
NaN	1.898	-1.898	-5.85599440895403
NaN	1.9	-1.9	-5.8465135868021
NaN	1.902	-1.902	-5.83704865874337
NaN	1.904	-1.904	-5.82759957157583
NaN	1.906	-1.906	-5.81816627236412
NaN	1.908	-1.908	-5.8087487084378
NaN	1.91	-1.91	-5.79934682738956
NaN	1.912	-1.912	-5.78996057707345
NaN	1.914	-1.914	-5.7805899056032
NaN	1.916	-1.916	-5.77123476135046
NaN	1.918	-1.918	-5.76189509294307
NaN	1.92	-1.92	-5.75257084926345
NaN	1.922	-1.922	-5.74326197944682
NaN	1.924	-1.924	-5.73396843287962
NaN	1.926	-1.926	-5.72469015919779
NaN	1.928	-1.928	-5.7154271082852
NaN	1.93	-1.93	-5.70617923027196
NaN	1.932	-1.932	-5.69694647553287
